

------------------------------------------------------------
Application started
13:45:28 (I) 12604: ice.core.systeminfo      : OS version: "Windows 10"
13:45:28 (I) 12604: ice.core.systeminfo      : CPU architecture: "x86_64"
13:45:28 (I) 12604: ice.core.systeminfo      : Build ABI: "i386-little_endian-ilp32"
13:45:28 (I) 12604: ice.core.systeminfo      : Executable: "D:/Program Files/PDF Candy Desktop/pdfcandydt.exe"
13:45:28 (I) 12604: ice.core.systeminfo      : Version: "2.90"
13:45:28 (I) 12604: ice.core.systeminfo      : PID: 11836
13:45:28 (I) 12604: ice.core.systeminfo      : Main thread id: 12604
13:45:29 (D) 12604:                          : LicenseService::licenseFile()                     : License full path: "C:\\Users\\lenovo\\AppData\\Local\\Icecream\\Icecream PDF Candy Desktop\\license.lic"
13:45:29 (!) 12604:                          : LicenseService::loadLicenseInfo()                 : "License file not found: C:\\Users\\lenovo\\AppData\\Local\\Icecream\\Icecream PDF Candy Desktop\\license.lic"
13:45:30 (D) 12604:                          : DebenuPDFLibraryDLLQt1212::DebenuPDFLibraryDLLQt12: MP:  IS NULL: false
13:45:30 (D) 12604: ice.core.updater         : IceUpdateChecker::IceUpdateChecker()              : Instance created
13:45:30 (D) 12604: candy.application        : Application::sendRunMertrics()                    :  is frun false
13:45:31 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:45:33 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:45:38 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:45:43 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:45:48 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:45:53 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:45:56 (D) 12604:                          : MultiplePdfFilesLogic::onImportFilesFinished()    : void __thiscall MultiplePdfFilesLogic::onImportFilesFinished(const class QList<struct DocInfo> &)
13:45:56 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:45:58 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:46:03 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:46:08 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:46:13 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:46:18 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:46:23 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:46:28 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:46:33 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:46:38 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:46:43 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:46:48 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:46:53 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:46:58 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:47:03 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
13:47:08 (W) 12604:                          : MetricSender::sendNext::lambda()                  : Send analitics failed: "Host data.icecreamapps.com not found"
